                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3054,                0.82363,                 1.3412,                0.90253,                0.76459,                0.84758,                0.51693,                 1.3256,                0.87238,                 1.2553,             0.00061787,             0.00061787,             0.00061787
                     36,                 1.2766,                0.78194,                 1.3221,                0.83324,                0.76147,                 0.8137,                 0.5009,                 1.3035,                0.93416,                 1.2464,             0.00061504,             0.00061504,             0.00061504
                     37,                 1.2877,                0.78368,                 1.3374,                0.80429,                0.80734,                0.84217,                0.51158,                 1.3081,                0.84039,                 1.2524,             0.00061221,             0.00061221,             0.00061221
                     38,                  1.265,                0.77239,                 1.2983,                0.85326,                0.77064,                0.82291,                0.50561,                 1.3198,                0.91272,                 1.2564,             0.00060938,             0.00060938,             0.00060938
                     39,                   1.26,                0.78353,                 1.3174,                0.84513,                0.83028,                0.85799,                0.52782,                 1.3151,                0.86066,                 1.2439,             0.00060656,             0.00060656,             0.00060656
                     40,                 1.2605,                0.76167,                 1.3077,                 0.8448,                0.79905,                0.83341,                0.53246,                  1.209,                0.85466,                 1.1997,             0.00060373,             0.00060373,             0.00060373
                     41,                 1.2747,                0.76951,                  1.299,                0.83482,                 0.8211,                0.83352,                0.53245,                 1.2705,                0.83415,                 1.2088,              0.0006009,              0.0006009,              0.0006009
                     42,                  1.251,                  0.769,                 1.2962,                0.81454,                0.76606,                0.82958,                 0.4967,                 1.3621,                0.88284,                 1.2708,             0.00059807,             0.00059807,             0.00059807
                     43,                 1.2392,                0.73967,                 1.3104,                0.87117,                0.77523,                0.83331,                0.52811,                 1.2951,                0.82234,                 1.2329,             0.00059525,             0.00059525,             0.00059525
                     44,                  1.228,                0.74077,                  1.292,                0.85252,                0.77523,                0.82123,                0.52212,                 1.2655,                0.89335,                 1.2193,             0.00059242,             0.00059242,             0.00059242
                     45,                 1.1786,                0.70293,                 1.2662,                0.85458,                0.74312,                0.80937,                0.53093,                 1.2183,                0.87814,                 1.2039,             0.00058959,             0.00058959,             0.00058959
                     46,                 1.2083,                0.72486,                 1.2986,                 0.8613,                0.78899,                0.83271,                0.52503,                 1.2854,                0.82812,                 1.2228,             0.00058677,             0.00058677,             0.00058677
                     47,                 1.2204,                0.73174,                 1.2989,                0.86635,                0.75688,                0.82348,                0.51606,                 1.3106,                0.87299,                 1.2625,             0.00058394,             0.00058394,             0.00058394
                     48,                 1.1948,                0.72654,                 1.2655,                0.86693,                0.74712,                0.81767,                0.50347,                 1.3395,                0.87545,                 1.2755,             0.00058111,             0.00058111,             0.00058111
                     49,                 1.2119,                0.70521,                 1.2698,                0.88143,                0.76147,                0.83146,                0.52438,                 1.2688,                0.83605,                 1.2144,             0.00057828,             0.00057828,             0.00057828
                     50,                 1.1724,                0.67908,                 1.2629,                0.88927,                0.74312,                0.84029,                 0.5296,                 1.2894,                 0.8007,                 1.2206,             0.00057546,             0.00057546,             0.00057546
                     51,                 1.1838,                0.69668,                 1.2745,                0.85581,                0.79358,                0.82223,                0.51613,                 1.3194,                0.86346,                 1.2452,             0.00057263,             0.00057263,             0.00057263
                     52,                 1.2059,                0.68324,                  1.277,                0.87419,                0.77523,                0.82233,                0.51167,                 1.2837,                0.86389,                 1.2478,              0.0005698,              0.0005698,              0.0005698
                     53,                 1.1479,                0.66528,                 1.2503,                0.86153,                0.77982,                0.82253,                0.52348,                 1.2942,                0.81493,                  1.208,             0.00056697,             0.00056697,             0.00056697
                     54,                 1.1445,                0.64945,                 1.2428,                0.86191,                0.76606,                0.82922,                0.51184,                  1.297,                0.85919,                 1.2314,             0.00056415,             0.00056415,             0.00056415
                     55,                 1.1507,                0.68182,                 1.2327,                0.89236,                0.76054,                0.83098,                0.51999,                 1.2577,                0.83582,                 1.2234,             0.00056132,             0.00056132,             0.00056132
                     56,                 1.1579,                 0.6625,                 1.2487,                0.84318,                0.78925,                0.81015,                0.50803,                 1.2621,                0.87497,                 1.2267,             0.00055849,             0.00055849,             0.00055849
                     57,                   1.14,                0.65227,                 1.2361,                0.88725,                 0.7844,                0.82442,                0.51035,                 1.3425,                0.86143,                 1.2817,             0.00055566,             0.00055566,             0.00055566
                     58,                 1.1392,                0.67086,                 1.2537,                0.90567,                0.77523,                0.82871,                0.54082,                 1.2551,                0.82833,                 1.2203,             0.00055284,             0.00055284,             0.00055284
                     59,                 1.1364,                0.64542,                 1.2299,                0.86777,                0.79358,                0.83036,                0.53157,                 1.2644,                0.79154,                 1.2282,             0.00055001,             0.00055001,             0.00055001
                     60,                 1.1244,                0.63282,                 1.2221,                0.82735,                0.82569,                0.84281,                0.53388,                 1.2798,                0.81844,                 1.2184,             0.00054718,             0.00054718,             0.00054718
                     61,                 1.1066,                0.64255,                 1.2155,                 0.8711,                0.80601,                0.84012,                0.52217,                 1.2929,                0.80187,                 1.2293,             0.00054435,             0.00054435,             0.00054435
                     62,                 1.1093,                0.62045,                 1.2358,                0.84578,                0.78899,                0.82259,                0.52373,                 1.2596,                0.83736,                 1.2118,             0.00054153,             0.00054153,             0.00054153
                     63,                 1.1014,                0.63844,                 1.2157,                 0.8835,                0.76532,                0.83425,                0.53969,                 1.2864,                0.81511,                 1.2217,              0.0005387,              0.0005387,              0.0005387
                     64,                 1.1065,                0.63419,                 1.2146,                0.89133,                0.76606,                0.84041,                0.53044,                 1.2629,                0.80082,                  1.222,             0.00053587,             0.00053587,             0.00053587
                     65,                 1.1151,                0.61381,                 1.2235,                 0.8795,                0.77064,                0.83321,                0.52771,                 1.2615,                0.84388,                 1.2262,             0.00053304,             0.00053304,             0.00053304
                     66,                 1.1153,                0.62565,                 1.2211,                0.86807,                0.78473,                0.83579,                0.53833,                 1.2795,                0.76178,                 1.2443,             0.00053022,             0.00053022,             0.00053022
